team,year,win,games_played,win_pct,points_scored,points_allowed,point_diff,rank,points
Air Force,2015,8,14,0.5714285714285714,473,357,116,107,106.74
Air Force,2016,10,13,0.7692307692307693,457,341,116,112,97.78
Air Force,2017,5,12,0.4166666666666667,377,389,-12,123,98.02
Air Force,2018,5,12,0.4166666666666667,362,309,53,114,110.9
Air Force,2019,11,13,0.8461538461538461,443,258,185,109,115.88
Air Force,2020,3,6,0.5,146,90,56,122,110.51
Air Force,2021,10,13,0.7692307692307693,403,257,146,107,134.5
Air Force,2022,10,13,0.7692307692307693,362,174,188,107,142.11
Air Force,2023,9,13,0.6923076923076923,362,236,126,90,144.16
Akron,2015,8,13,0.6153846153846154,311,279,32,115,97.64
Akron,2016,5,12,0.4166666666666667,329,403,-74,113,97.33
Akron,2017,7,14,0.5,310,392,-82,127,82.38
Akron,2018,4,12,0.3333333333333333,227,326,-99,132,82.29
Akron,2019,0,12,0.0,126,435,-309,131,88.91
Akron,2020,1,6,0.1666666666666666,103,248,-145,127,108.81
Akron,2021,2,12,0.1666666666666666,238,474,-236,114,130.23
Akron,2022,2,12,0.1666666666666666,261,402,-141,125,129.48
Akron,2023,2,12,0.1666666666666666,195,336,-141,119,113.25
Alabama,2015,14,15,0.9333333333333332,526,227,299,1,319.5
Alabama,2016,14,15,0.9333333333333332,582,195,387,1,319.71
Alabama,2017,13,14,0.9285714285714286,519,167,352,1,311.1
Alabama,2018,14,15,0.9333333333333332,684,271,413,1,302.04
Alabama,2019,11,13,0.8461538461538461,614,242,372,1,323.87
Alabama,2020,13,13,1.0,630,252,378,5,289.94
Alabama,2021,13,15,0.8666666666666667,598,302,296,1,317.5
Alabama,2022,11,13,0.8461538461538461,534,236,298,2,310.44
Alabama,2023,12,14,0.8571428571428571,476,266,210,1,327.91
Alabama A&M,2015,3,10,0.3,203,375,-172,186,9.99
Alabama A&M,2018,5,10,0.5,273,256,17,242,8.42
Alabama A&M,2019,7,12,0.5833333333333334,409,398,11,201,21.83
Alabama A&M,2020,5,5,1.0,163,97,66,226,7.98
Alabama A&M,2021,7,10,0.7,379,351,28,229,11.61
Alabama A&M,2023,5,11,0.4545454545454545,326,301,25,163,15.36
Alabama State,2015,5,10,0.5,235,258,-23,196,8.12
Alabama State,2016,4,11,0.3636363636363636,286,301,-15,167,20.09
Alabama State,2017,5,11,0.4545454545454545,154,198,-44,216,9.97
Alabama State,2018,3,10,0.3,143,387,-244,195,26.02
Alabama State,2020,3,6,0.5,121,121,0,194,15.57
Alabama State,2021,5,11,0.4545454545454545,240,310,-70,238,7.97
Alcorn State,2015,8,11,0.7272727272727273,441,253,188,149,26.36
Alcorn State,2017,7,12,0.5833333333333334,372,261,111,165,30.6
Alcorn State,2018,9,13,0.6923076923076923,426,279,147,196,25.55
Alcorn State,2019,9,13,0.6923076923076923,437,300,137,195,25.22
Alcorn State,2020,0,6,0.0,0,12,-12,154,38.0
Alcorn State,2021,6,11,0.5454545454545454,286,284,2,206,21.58
Alcorn State,2022,5,11,0.4545454545454545,228,274,-46,220,12.65
App State,2015,11,13,0.8461538461538461,477,248,229,125,78.64
App State,2016,10,13,0.7692307692307693,380,232,148,87,121.25
App State,2017,9,13,0.6923076923076923,435,263,172,114,112.03
App State,2018,11,13,0.8461538461538461,485,201,284,109,111.72
App State,2019,13,14,0.9285714285714286,543,280,263,107,116.78
App State,2020,9,12,0.75,406,240,166,113,120.2
App State,2021,10,14,0.7142857142857143,483,310,173,101,139.0
App State,2022,6,12,0.5,419,321,98,83,154.59
App State,2023,9,14,0.6428571428571429,465,378,87,69,161.14
Arizona,2015,7,13,0.5384615384615384,486,465,21,44,188.91
Arizona,2016,3,12,0.25,297,460,-163,31,213.29
Arizona,2017,7,13,0.5384615384615384,537,447,90,43,186.57
Arizona,2018,5,12,0.4166666666666667,376,391,-15,48,180.42
Arizona,2019,4,12,0.3333333333333333,323,429,-106,45,185.88
Arizona,2020,0,5,0.0,87,199,-112,61,178.03
Arizona,2021,1,12,0.0833333333333333,206,377,-171,54,182.67
Arizona,2022,5,12,0.4166666666666667,370,438,-68,62,170.89
Arizona,2023,10,13,0.7692307692307693,450,274,176,75,157.25
Arizona State,2015,6,13,0.4615384615384615,450,435,15,39,192.78
Arizona State,2016,5,12,0.4166666666666667,400,478,-78,23,223.19
Arizona State,2017,7,13,0.5384615384615384,414,427,-13,19,232.73
Arizona State,2018,7,13,0.5384615384615384,389,332,57,24,217.62
Arizona State,2019,8,13,0.6153846153846154,322,291,31,32,206.68
Arizona State,2020,2,4,0.5,161,93,68,36,207.26
Arizona State,2021,8,13,0.6153846153846154,369,271,98,28,219.76
Arizona State,2022,3,12,0.25,313,377,-64,24,229.47
Arizona State,2023,3,12,0.25,213,382,-169,48,185.98
Arkansas,2015,8,13,0.6153846153846154,467,356,111,23,216.6
Arkansas,2016,7,13,0.5384615384615384,394,404,-10,29,215.5
Arkansas,2017,4,12,0.3333333333333333,345,434,-89,22,222.51
Arkansas,2018,2,12,0.1666666666666666,260,417,-157,23,219.34
Arkansas,2019,2,12,0.1666666666666666,257,442,-185,27,212.74
Arkansas,2020,3,10,0.3,257,349,-92,49,192.11
Arkansas,2021,9,13,0.6923076923076923,402,298,104,23,237.17
Arkansas,2022,7,13,0.5384615384615384,423,398,25,30,212.16
Arkansas,2023,4,12,0.3333333333333333,319,335,-16,24,213.19
Arkansas State,2015,9,13,0.6923076923076923,520,393,127,100,113.75
Arkansas State,2016,8,13,0.6153846153846154,355,279,76,95,111.51
Arkansas State,2017,7,12,0.5833333333333334,454,309,145,90,131.45
Arkansas State,2018,8,13,0.6153846153846154,394,333,61,90,132.18
Arkansas State,2019,8,13,0.6153846153846154,438,444,-6,111,114.91
Arkansas State,2020,4,11,0.3636363636363636,362,409,-47,88,148.03
Arkansas State,2021,2,12,0.1666666666666666,303,463,-160,95,143.36
Arkansas State,2022,3,12,0.25,300,377,-77,92,148.75
Arkansas State,2023,6,13,0.4615384615384615,352,395,-43,106,132.61
Arkansas-Pine Bluff,2021,2,11,0.1818181818181818,218,415,-197,218,16.4
Arkansas-Pine Bluff,2022,3,11,0.2727272727272727,262,395,-133,209,16.53
Army,2015,2,12,0.1666666666666666,265,334,-69,127,74.07
Army,2016,8,13,0.6153846153846154,389,258,131,121,87.22
Army,2017,10,13,0.7692307692307693,399,286,113,120,100.83
Army,2018,11,13,0.8461538461538461,426,230,196,117,108.9
Army,2019,5,13,0.3846153846153846,370,299,71,120,106.37
Army,2020,9,12,0.75,321,178,143,117,118.69
Army,2021,9,13,0.6923076923076923,427,290,137,99,139.75
Army,2022,6,12,0.5,343,270,73,111,139.43
Army,2023,6,12,0.5,246,253,-7,109,131.27
Auburn,2015,7,13,0.5384615384615384,357,338,19,10,267.46
Auburn,2016,8,13,0.6153846153846154,406,222,184,6,277.12
Auburn,2017,10,14,0.7142857142857143,474,259,215,8,278.31
Auburn,2018,8,13,0.6153846153846154,402,249,153,9,275.14
Auburn,2019,9,13,0.6923076923076923,432,254,178,9,255.92
Auburn,2020,6,11,0.5454545454545454,276,272,4,12,262.77
Auburn,2021,6,13,0.4615384615384615,368,283,85,11,271.94
Auburn,2022,5,12,0.4166666666666667,297,354,-57,7,274.6
Auburn,2023,6,13,0.4615384615384615,340,294,46,30,205.63
Austin Peay,2015,0,11,0.0,133,429,-296,163,21.02
Austin Peay,2016,0,11,0.0,259,517,-258,156,25.04
Austin Peay,2017,8,12,0.6666666666666666,327,297,30,153,35.12
Austin Peay,2018,5,11,0.4545454545454545,340,337,3,144,67.88
Austin Peay,2019,11,15,0.7333333333333333,518,309,209,132,88.84
Austin Peay,2020,4,9,0.4444444444444444,215,301,-86,133,88.36
Austin Peay,2021,6,11,0.5454545454545454,358,274,84,165,46.22
Austin Peay,2022,7,11,0.6363636363636364,347,250,97,204,17.16
Austin Peay,2023,9,12,0.75,402,284,118,155,24.23
