year,home_team,home_points,away_team,away_points
2015,Montana,38,North Dakota State,35
2015,UCF,14,Florida International,15
2015,South Carolina,17,North Carolina,13
2015,Eastern Kentucky,52,Valparaiso,10
2015,Murray State,52,Kentucky Wesleyan,12
2015,Campbell,41,Pikeville,20
2015,Northwestern State,20,SE Louisiana,34
2015,Wake Forest,41,Elon,3
2015,Charleston Southern,41,North Greenville,14
2015,Central Michigan,13,Oklahoma State,24
2015,Ball State,48,VMI,36
2015,Western Illinois,33,Eastern Illinois,5
2015,Samford,45,Central Arkansas,16
2015,Georgia Tech,69,Alcorn State,6
2015,UConn,20,Villanova,15
2015,East Tennessee State,16,Kennesaw State,56
2015,Vanderbilt,12,Western Kentucky,14
2015,Utah,24,Michigan,17
2015,Minnesota,17,TCU,23
2015,Utah State,12,Southern Utah,9
2015,Idaho,28,Ohio,45
2015,Montana State,45,Fort Lewis,14
2015,Tulane,7,Duke,37
2015,Fresno State,34,Abilene Christian,13
2015,Arizona,42,UTSA,32
2015,Nevada,31,UC Davis,17
2015,San José State,43,New Hampshire,13
2015,Hawai'i,28,Colorado,20
2015,Georgia State,20,Charlotte,23
2015,Central Connecticut,14,Lehigh,20
2015,Delaware,14,Jacksonville,20
2015,Western Michigan,24,Michigan State,37
2015,Army,35,Fordham,37
2015,Syracuse,47,Rhode Island,0
2015,SMU,21,Baylor,56
2015,Oregon State,26,Weber State,7
2015,Boise State,16,Washington,13
2015,Rutgers,63,Norfolk State,13
2015,Georgia,51,UL Monroe,14
2015,Maryland,50,Richmond,21
2015,Iowa,31,Illinois State,14
2015,Ole Miss,76,UT Martin,3
2015,Kansas,38,South Dakota State,41
2015,Duquesne,47,Kentucky Christian,7
2015,Northwestern,16,Stanford,6
2015,Navy,48,Colgate,10
2015,Robert Morris,24,Dayton,27
2015,St. Francis (PA),48,Georgetown,20
2015,Clemson,49,Wofford,10
2015,Boston College,24,Maine,3
2015,Monmouth,19,Holy Cross,27
2015,Pittsburgh,45,Youngstown State,37
2015,Illinois,52,Kent State,3
2015,Washington State,17,Portland State,24
2015,Bryant,27,American International,3
2015,Incarnate Word,18,Texas A&M-Kingsville,16
2015,Indiana State,52,Butler,17
2015,App State,49,Howard,0
