team,year,win,points_scored,points_allowed,games_played,win_pct,point_diff
Abilene Christian,2015,3,258,316,10,0.3,-58
Abilene Christian,2016,2,295,417,11,0.18181818181818182,-122
Abilene Christian,2017,2,209,321,11,0.18181818181818182,-112
Abilene Christian,2018,6,331,296,11,0.5454545454545454,35
Abilene Christian,2019,5,336,343,12,0.4166666666666667,-7
Abilene Christian,2020,1,124,213,6,0.16666666666666666,-89
Abilene Christian,2021,5,311,280,11,0.45454545454545453,31
Abilene Christian,2022,7,310,246,11,0.6363636363636364,64
Abilene Christian,2023,5,286,319,11,0.45454545454545453,-33
Adams State,2021,1,273,461,11,0.09090909090909091,-188
Adams State,2022,2,251,417,11,0.18181818181818182,-166
Adams State,2023,3,187,433,11,0.2727272727272727,-246
Adrian,2020,2,106,115,4,0.5,-9
Adrian,2022,6,296,188,10,0.6,108
Adrian,2023,1,191,321,10,0.1,-130
Air Force,2015,8,473,357,14,0.5714285714285714,116
Air Force,2016,10,457,341,13,0.7692307692307693,116
Air Force,2017,5,377,389,12,0.4166666666666667,-12
Air Force,2018,5,362,309,12,0.4166666666666667,53
Air Force,2019,11,443,258,13,0.8461538461538461,185
Air Force,2020,3,146,90,6,0.5,56
Air Force,2021,10,403,257,13,0.7692307692307693,146
Air Force,2022,10,362,174,13,0.7692307692307693,188
Air Force,2023,9,362,236,13,0.6923076923076923,126
Akron,2015,8,311,279,13,0.6153846153846154,32
Akron,2016,5,329,403,12,0.4166666666666667,-74
Akron,2017,7,310,392,14,0.5,-82
Akron,2018,4,227,326,12,0.3333333333333333,-99
Akron,2019,0,126,435,12,0.0,-309
Akron,2020,1,103,248,6,0.16666666666666666,-145
Akron,2021,2,238,474,12,0.16666666666666666,-236
Akron,2022,2,261,402,12,0.16666666666666666,-141
Akron,2023,2,195,336,12,0.16666666666666666,-141
Alabama,2015,14,526,227,15,0.9333333333333333,299
Alabama,2016,14,582,195,15,0.9333333333333333,387
Alabama,2017,13,519,167,14,0.9285714285714286,352
Alabama,2018,14,684,271,15,0.9333333333333333,413
Alabama,2019,11,614,242,13,0.8461538461538461,372
Alabama,2020,13,630,252,13,1.0,378
Alabama,2021,13,598,302,15,0.8666666666666667,296
Alabama,2022,11,534,236,13,0.8461538461538461,298
Alabama,2023,12,476,266,14,0.8571428571428571,210
Alabama A&M,2015,3,203,375,10,0.3,-172
Alabama A&M,2016,4,262,426,11,0.36363636363636365,-164
Alabama A&M,2017,4,193,292,11,0.36363636363636365,-99
Alabama A&M,2018,5,273,256,10,0.5,17
Alabama A&M,2019,7,409,398,12,0.5833333333333334,11
Alabama A&M,2020,5,163,97,5,1.0,66
Alabama A&M,2021,7,379,351,10,0.7,28
Alabama A&M,2022,4,225,353,11,0.36363636363636365,-128
Alabama A&M,2023,5,326,301,11,0.45454545454545453,25
Alabama State,2015,5,235,258,10,0.5,-23
Alabama State,2016,4,286,301,11,0.36363636363636365,-15
Alabama State,2017,5,154,198,11,0.45454545454545453,-44
Alabama State,2018,3,143,387,10,0.3,-244
Alabama State,2019,5,249,301,11,0.45454545454545453,-52
Alabama State,2020,3,121,121,6,0.5,0
Alabama State,2021,5,240,310,11,0.45454545454545453,-70
Alabama State,2022,6,207,223,11,0.5454545454545454,-16
Alabama State,2023,7,227,159,11,0.6363636363636364,68
Albany State GA,2021,9,301,75,11,0.8181818181818182,226
Albany State GA,2022,7,296,149,10,0.7,147
Albany State GA,2023,6,268,235,11,0.5454545454545454,33
Albion,2020,3,111,57,3,1.0,54
Albion,2022,9,381,141,10,0.9,240
Albion,2023,7,322,210,10,0.7,112
Albright,2020,1,34,65,2,0.5,-31
Albright,2022,0,124,309,10,0.0,-185
Albright,2023,0,65,378,10,0.0,-313
Alcorn State,2015,8,441,253,11,0.7272727272727273,188
Alcorn State,2016,5,333,319,11,0.45454545454545453,14
Alcorn State,2017,7,372,261,12,0.5833333333333334,111
Alcorn State,2018,9,426,279,13,0.6923076923076923,147
Alcorn State,2019,9,437,300,13,0.6923076923076923,137
Alcorn State,2020,0,0,12,6,0.0,-12
Alcorn State,2021,6,286,284,11,0.5454545454545454,2
Alcorn State,2022,5,228,274,11,0.45454545454545453,-46
Alcorn State,2023,7,246,247,11,0.6363636363636364,-1
Alderson-Broaddus,2015,0,18,53,1,0.0,-35
Alderson-Broaddus,2016,1,14,7,1,1.0,7
Alderson-Broaddus,2020,0,12,127,3,0.0,-115
Alderson-Broaddus,2021,1,133,423,11,0.09090909090909091,-290
Alderson-Broaddus,2022,0,168,471,11,0.0,-303
Alderson-Broaddus,2023,0,0,0,11,0.0,0
Alfred State,2022,5,283,288,10,0.5,-5
Alfred State,2023,6,335,281,11,0.5454545454545454,54
Alfred University,2020,1,34,40,2,0.5,-6
Alfred University,2022,2,136,329,10,0.2,-193
Alfred University,2023,4,155,227,10,0.4,-72
Allegheny,2022,2,200,356,9,0.2222222222222222,-156
Allegheny,2023,3,206,263,10,0.3,-57
Allen,2021,3,218,305,8,0.375,-87
Allen,2022,1,238,328,10,0.1,-90
Allen,2023,7,325,264,10,0.7,61
Alma,2020,1,19,21,2,0.5,-2
Alma,2022,11,472,240,12,0.9166666666666666,232
Alma,2023,12,609,259,13,0.9230769230769231,350
American International,2015,0,3,27,1,0.0,-24
American International,2021,4,191,244,10,0.4,-53
American International,2022,1,147,312,10,0.1,-165
American International,2023,3,173,364,11,0.2727272727272727,-191
Amherst,2022,2,108,169,9,0.2222222222222222,-61
Amherst,2023,4,126,215,9,0.4444444444444444,-89
Anderson (IN),2020,1,179,208,5,0.2,-29
Anderson (IN),2022,1,84,429,10,0.1,-345
Anderson (IN),2023,0,98,553,10,0.0,-455
Angelo State,2018,0,24,41,1,0.0,-17
Angelo State,2020,1,46,52,2,0.5,-6
Angelo State,2021,11,502,230,14,0.7857142857142857,272
Angelo State,2022,12,417,178,13,0.9230769230769231,239
Angelo State,2023,7,314,174,10,0.7,140
Anna Maria College,2022,5,295,301,9,0.5555555555555556,-6
Anna Maria College,2023,5,358,329,9,0.5555555555555556,29
App State,2015,11,477,248,13,0.8461538461538461,229
App State,2016,10,380,232,13,0.7692307692307693,148
App State,2017,9,435,263,13,0.6923076923076923,172
App State,2018,11,485,201,13,0.8461538461538461,284
App State,2019,13,543,280,14,0.9285714285714286,263
App State,2020,9,406,240,12,0.75,166
App State,2021,10,483,310,14,0.7142857142857143,173
App State,2022,6,419,321,12,0.5,98
App State,2023,9,465,378,14,0.6428571428571429,87
Apprentice School,2022,0,19,22,1,0.0,-3
Apprentice School,2023,1,88,114,4,0.25,-26
Arizona,2015,7,486,465,13,0.5384615384615384,21
Arizona,2016,3,297,460,12,0.25,-163
Arizona,2017,7,537,447,13,0.5384615384615384,90
Arizona,2018,5,376,391,12,0.4166666666666667,-15
Arizona,2019,4,323,429,12,0.3333333333333333,-106
Arizona,2020,0,87,199,5,0.0,-112
Arizona,2021,1,206,377,12,0.08333333333333333,-171
Arizona,2022,5,370,438,12,0.4166666666666667,-68
Arizona,2023,10,450,274,13,0.7692307692307693,176
Arizona State,2015,6,450,435,13,0.46153846153846156,15
Arizona State,2016,5,400,478,12,0.4166666666666667,-78
Arizona State,2017,7,414,427,13,0.5384615384615384,-13
Arizona State,2018,7,389,332,13,0.5384615384615384,57
Arizona State,2019,8,322,291,13,0.6153846153846154,31
Arizona State,2020,2,161,93,4,0.5,68
Arizona State,2021,8,369,271,13,0.6153846153846154,98
Arizona State,2022,3,313,377,12,0.25,-64
Arizona State,2023,3,213,382,12,0.25,-169
Arkansas,2015,8,467,356,13,0.6153846153846154,111
Arkansas,2016,7,394,404,13,0.5384615384615384,-10
Arkansas,2017,4,345,434,12,0.3333333333333333,-89
Arkansas,2018,2,260,417,12,0.16666666666666666,-157
Arkansas,2019,2,257,442,12,0.16666666666666666,-185
Arkansas,2020,3,257,349,10,0.3,-92
Arkansas,2021,9,402,298,13,0.6923076923076923,104
Arkansas,2022,7,423,398,13,0.5384615384615384,25
Arkansas,2023,4,319,335,12,0.3333333333333333,-16
Arkansas State,2015,9,520,393,13,0.6923076923076923,127
Arkansas State,2016,8,355,279,13,0.6153846153846154,76
Arkansas State,2017,7,454,309,12,0.5833333333333334,145
Arkansas State,2018,8,394,333,13,0.6153846153846154,61
Arkansas State,2019,8,438,444,13,0.6153846153846154,-6
Arkansas State,2020,4,362,409,11,0.36363636363636365,-47
Arkansas State,2021,2,303,463,12,0.16666666666666666,-160
Arkansas State,2022,3,300,377,12,0.25,-77
Arkansas State,2023,6,352,395,13,0.46153846153846156,-43
Arkansas Tech,2021,4,289,333,11,0.36363636363636365,-44
Arkansas Tech,2022,5,308,380,11,0.45454545454545453,-72
Arkansas Tech,2023,5,212,285,11,0.45454545454545453,-73
Arkansas-Monticello,2021,5,259,389,11,0.45454545454545453,-130
Arkansas-Monticello,2022,3,269,338,11,0.2727272727272727,-69
Arkansas-Monticello,2023,2,262,401,11,0.18181818181818182,-139
Arkansas-Pine Bluff,2015,2,206,394,10,0.2,-188
Arkansas-Pine Bluff,2016,1,150,464,11,0.09090909090909091,-314
Arkansas-Pine Bluff,2017,2,231,379,11,0.18181818181818182,-148
Arkansas-Pine Bluff,2018,2,248,441,10,0.2,-193
Arkansas-Pine Bluff,2019,6,349,304,11,0.5454545454545454,45
Arkansas-Pine Bluff,2020,4,174,139,5,0.8,35
Arkansas-Pine Bluff,2021,2,218,415,11,0.18181818181818182,-197
Arkansas-Pine Bluff,2022,3,262,395,11,0.2727272727272727,-133
Arkansas-Pine Bluff,2023,2,167,372,11,0.18181818181818182,-205
Army,2015,2,265,334,12,0.16666666666666666,-69
Army,2016,8,389,258,13,0.6153846153846154,131
Army,2017,10,399,286,13,0.7692307692307693,113
Army,2018,11,426,230,13,0.8461538461538461,196
Army,2019,5,370,299,13,0.38461538461538464,71
Army,2020,9,321,178,12,0.75,143
Army,2021,9,427,290,13,0.6923076923076923,137
Army,2022,6,343,270,12,0.5,73
Army,2023,6,246,253,12,0.5,-7
Ashland,2021,5,301,259,10,0.5,42
Ashland,2022,10,351,176,12,0.8333333333333334,175
Ashland,2023,8,341,244,11,0.7272727272727273,97
Assumption,2021,5,266,255,10,0.5,11
Assumption,2022,7,178,146,10,0.7,32
Assumption,2023,5,209,235,10,0.5,-26
Auburn,2015,7,357,338,13,0.5384615384615384,19
Auburn,2016,8,406,222,13,0.6153846153846154,184
Auburn,2017,10,474,259,14,0.7142857142857143,215
Auburn,2018,8,402,249,13,0.6153846153846154,153
Auburn,2019,9,432,254,13,0.6923076923076923,178
Auburn,2020,6,276,272,11,0.5454545454545454,4
Auburn,2021,6,368,283,13,0.46153846153846156,85
Auburn,2022,5,297,354,12,0.4166666666666667,-57
Auburn,2023,6,340,294,13,0.46153846153846156,46
Augsburg,2020,1,24,21,1,1.0,3
Augsburg,2022,6,303,228,9,0.6666666666666666,75
Augsburg,2023,6,352,254,10,0.6,98
Augustana (IL),2020,1,85,66,3,0.3333333333333333,19
Augustana (IL),2022,5,348,330,10,0.5,18
Augustana (IL),2023,8,376,229,10,0.8,147
Augustana University (SD),2021,9,459,257,12,0.75,202
Augustana University (SD),2022,7,290,228,11,0.6363636363636364,62
Augustana University (SD),2023,11,425,260,13,0.8461538461538461,165
Aurora,2020,3,127,50,3,1.0,77
Aurora,2022,11,599,216,13,0.8461538461538461,383
Aurora,2023,11,639,167,12,0.9166666666666666,472
Austin,2020,1,102,145,4,0.25,-43
Austin,2022,1,129,301,10,0.1,-172
Austin,2023,1,139,368,10,0.1,-229
Austin Peay,2015,0,133,429,11,0.0,-296
Austin Peay,2016,0,259,517,11,0.0,-258
Austin Peay,2017,8,327,297,12,0.6666666666666666,30
Austin Peay,2018,5,340,337,11,0.45454545454545453,3
Austin Peay,2019,11,518,309,15,0.7333333333333333,209
Austin Peay,2020,4,215,301,9,0.4444444444444444,-86
Austin Peay,2021,6,358,274,11,0.5454545454545454,84
Austin Peay,2022,7,347,250,11,0.6363636363636364,97
Austin Peay,2023,9,402,284,12,0.75,118
Ave Maria University,2015,0,21,60,1,0.0,-39
Ave Maria University,2019,0,28,42,1,0.0,-14
Ave Maria University,2021,0,16,49,1,0.0,-33
Ave Maria University,2022,0,14,42,1,0.0,-28
Ave Maria University,2023,1,27,14,1,1.0,13
Averett,2020,1,66,83,3,0.3333333333333333,-17
Averett,2022,3,120,263,9,0.3333333333333333,-143
Averett,2023,5,271,275,10,0.5,-4
Azusa Pacific,2018,0,35,37,1,0.0,-2
BLUEFIELD,2016,0,7,59,1,0.0,-52
BLUEFIELD,2018,0,10,41,1,0.0,-31
BLUEFIELD,2022,0,33,41,1,0.0,-8
BYU,2015,9,438,297,13,0.6923076923076923,141
BYU,2016,9,384,254,13,0.6923076923076923,130
BYU,2017,4,222,321,13,0.3076923076923077,-99
BYU,2018,7,354,278,13,0.5384615384615384,76
BYU,2019,7,370,331,13,0.5384615384615384,39
BYU,2020,11,522,184,12,0.9166666666666666,338
BYU,2021,10,430,322,13,0.7692307692307693,108
BYU,2022,8,407,383,13,0.6153846153846154,24
BYU,2023,5,277,358,12,0.4166666666666667,-81
Bacone College,2015,0,3,129,2,0.0,-126
Bacone College,2016,0,6,84,1,0.0,-78
Bacone College,2017,0,17,34,1,0.0,-17
Baldwin Wallace,2020,0,37,58,2,0.0,-21
Baldwin Wallace,2022,7,276,209,10,0.7,67
Baldwin Wallace,2023,6,311,283,10,0.6,28
Ball State,2015,3,277,430,12,0.25,-153
Ball State,2016,4,324,361,12,0.3333333333333333,-37
Ball State,2017,2,215,488,12,0.16666666666666666,-273
Ball State,2018,4,290,389,12,0.3333333333333333,-99
Ball State,2019,5,418,377,12,0.4166666666666667,41
Ball State,2020,7,274,206,8,0.875,68
Ball State,2021,6,313,369,13,0.46153846153846156,-56
Ball State,2022,5,279,323,12,0.4166666666666667,-44
Ball State,2023,4,219,293,12,0.3333333333333333,-74
Bates,2022,3,171,309,9,0.3333333333333333,-138
Bates,2023,0,105,318,9,0.0,-213
Baylor,2015,10,625,368,13,0.7692307692307693,257
Baylor,2016,7,450,377,13,0.5384615384615384,73
Baylor,2017,1,292,431,12,0.08333333333333333,-139
Baylor,2018,7,384,412,13,0.5384615384615384,-28
Baylor,2019,11,471,277,14,0.7857142857142857,194
Baylor,2020,2,210,263,9,0.2222222222222222,-53
Baylor,2021,12,443,256,14,0.8571428571428571,187
Baylor,2022,6,418,349,13,0.46153846153846156,69
Baylor,2023,3,277,400,12,0.25,-123
Belhaven,2020,3,108,133,5,0.6,-25
Belhaven,2022,8,383,158,10,0.8,225
Belhaven,2023,9,394,180,11,0.8181818181818182,214
Beloit,2022,1,169,401,10,0.1,-232
Beloit,2023,2,163,395,10,0.2,-232
Bemidji State,2021,10,445,411,13,0.7692307692307693,34
Bemidji State,2022,10,482,233,13,0.7692307692307693,249
Bemidji State,2023,9,366,207,12,0.75,159
Benedict College,2016,0,0,45,1,0.0,-45
Benedict College,2021,5,258,234,10,0.5,24
Benedict College,2022,11,421,155,12,0.9166666666666666,266
Benedict College,2023,11,483,128,12,0.9166666666666666,355
Benedictine University,2020,2,96,64,3,0.6666666666666666,32
Benedictine University,2022,7,399,209,10,0.7,190
Benedictine University,2023,5,221,229,9,0.5555555555555556,-8
Bentley,2021,9,333,233,11,0.8181818181818182,100
Bentley,2022,7,260,105,10,0.7,155
Bentley,2023,6,251,138,10,0.6,113
Berry College,2020,4,119,67,4,1.0,52
Berry College,2022,7,353,148,10,0.7,205
Berry College,2023,9,542,163,10,0.9,379
Bethany (KS),2015,0,7,51,1,0.0,-44
Bethany (WV),2020,1,67,84,3,0.3333333333333333,-17
Bethany (WV),2022,1,106,339,9,0.1111111111111111,-233
Bethany (WV),2023,0,148,377,10,0.0,-229
Bethel (MN),2022,10,423,234,12,0.8333333333333334,189
Bethel (MN),2023,8,322,162,11,0.7272727272727273,160
Bethel Col,2021,0,9,52,1,0.0,-43
Bethel University Tennessee,2015,0,10,72,1,0.0,-62
Bethel University Tennessee,2019,0,16,65,1,0.0,-49
Bethel University Tennessee,2021,0,14,48,1,0.0,-34
Bethune-Cookman,2015,9,345,275,11,0.8181818181818182,70
Bethune-Cookman,2016,4,252,252,10,0.4,0
Bethune-Cookman,2017,7,228,263,11,0.6363636363636364,-35
Bethune-Cookman,2018,7,359,365,12,0.5833333333333334,-6
Bethune-Cookman,2019,7,268,285,11,0.6363636363636364,-17
Bethune-Cookman,2021,2,270,399,11,0.18181818181818182,-129
Bethune-Cookman,2022,2,259,434,11,0.18181818181818182,-175
Bethune-Cookman,2023,3,203,286,11,0.2727272727272727,-83
Biddeford,2022,5,218,257,10,0.5,-39
Biddeford,2023,6,293,254,10,0.6,39
Birmingham-Southern,2020,2,132,99,4,0.5,33
Birmingham-Southern,2022,7,289,145,10,0.7,144
Birmingham-Southern,2023,3,125,274,10,0.3,-149
Black Hills State,2015,0,0,55,1,0.0,-55
Black Hills State,2021,2,195,315,9,0.2222222222222222,-120
Black Hills State,2022,7,310,230,11,0.6363636363636364,80
Black Hills State,2023,6,336,351,11,0.5454545454545454,-15
Bloomsburg,2021,3,208,337,11,0.2727272727272727,-129
Bloomsburg,2022,3,216,270,11,0.2727272727272727,-54
Bloomsburg,2023,3,165,233,11,0.2727272727272727,-68
Bluefield State,2021,3,118,155,6,0.5,-37
Bluefield State,2022,3,149,218,8,0.375,-69
Bluefield State,2023,1,196,358,10,0.1,-162
Bluffton,2020,3,193,220,7,0.42857142857142855,-27
Bluffton,2022,2,227,430,10,0.2,-203
Bluffton,2023,4,302,307,10,0.4,-5
Boise State,2015,9,508,263,13,0.6923076923076923,245
Boise State,2016,10,439,303,13,0.7692307692307693,136
Boise State,2017,11,455,320,14,0.7857142857142857,135
Boise State,2018,10,460,287,13,0.7692307692307693,173
Boise State,2019,12,486,306,14,0.8571428571428571,180
Boise State,2020,5,237,190,7,0.7142857142857143,47
Boise State,2021,7,350,228,12,0.5833333333333334,122
Boise State,2022,10,413,273,14,0.7142857142857143,140
Boise State,2023,8,450,358,14,0.5714285714285714,92
Boston College,2015,3,206,183,12,0.25,23
Boston College,2016,7,265,325,13,0.5384615384615384,-60
Boston College,2017,7,334,297,13,0.5384615384615384,37
Boston College,2018,7,384,308,12,0.5833333333333334,76
Boston College,2019,6,377,418,13,0.46153846153846156,-41
Boston College,2020,6,306,312,11,0.5454545454545454,-6
Boston College,2021,6,296,266,12,0.5,30
Boston College,2022,3,213,364,12,0.25,-151
Boston College,2023,7,323,368,13,0.5384615384615384,-45
Bowdoin,2022,3,158,204,9,0.3333333333333333,-46
Bowdoin,2023,4,227,224,9,0.4444444444444444,3
Bowie State,2015,0,14,21,1,0.0,-7
Bowie State,2016,0,35,44,1,0.0,-9
Bowie State,2018,0,23,40,1,0.0,-17
Bowie State,2021,12,452,206,14,0.8571428571428571,246
Bowie State,2022,6,289,233,10,0.6,56
Bowie State,2023,6,214,233,10,0.6,-19
Bowling Green,2015,10,591,405,14,0.7142857142857143,186
Bowling Green,2016,4,298,460,12,0.3333333333333333,-162
Bowling Green,2017,2,304,456,12,0.16666666666666666,-152
Bowling Green,2018,3,292,480,12,0.25,-188
Bowling Green,2019,3,192,463,12,0.25,-271
Bowling Green,2020,0,57,225,5,0.0,-168
Bowling Green,2021,4,257,368,12,0.3333333333333333,-111
Bowling Green,2022,6,305,423,13,0.46153846153846156,-118
Bowling Green,2023,7,340,312,13,0.5384615384615384,28
Brevard College,2015,0,7,55,1,0.0,-48
Brevard College,2017,0,7,30,1,0.0,-23
Brevard College,2018,0,13,34,1,0.0,-21
Brevard College,2020,4,122,56,5,0.8,66
Brevard College,2021,0,14,38,1,0.0,-24
Brevard College,2022,5,175,217,9,0.5555555555555556,-42
Brevard College,2023,5,302,281,10,0.5,21
Bridgewater (VA),2020,2,84,81,4,0.5,3
Bridgewater (VA),2022,9,344,181,10,0.9,163
Bridgewater (VA),2023,7,330,244,10,0.7,86
Bridgewater State,2022,6,317,231,10,0.6,86
Bridgewater State,2023,7,301,180,10,0.7,121
Brockport,2022,7,242,137,10,0.7,105
Brockport,2023,8,374,98,10,0.8,276
Brown,2015,5,279,329,10,0.5,-50
Brown,2016,4,204,265,10,0.4,-61
Brown,2017,2,130,301,10,0.2,-171
Brown,2018,1,143,362,10,0.1,-219
Brown,2019,2,300,402,10,0.2,-102
Brown,2021,2,295,424,10,0.2,-129
Brown,2022,3,231,351,10,0.3,-120
Brown,2023,5,255,290,10,0.5,-35
Bryant,2015,5,297,250,11,0.45454545454545453,47
Bryant,2016,5,316,310,11,0.45454545454545453,6
Bryant,2017,6,333,382,11,0.5454545454545454,-49
Bryant,2018,6,357,446,11,0.5454545454545454,-89
